Date,Open,High,Low,Close,Adj Close,Volume
2025-8-1,174.08999633789062,176.5399932861328,170.88999938964844,173.72000122070312,173.70053100585938,204529000
2025-8-4,175.16000366210938,180.1999969482422,174.52000427246094,180,179.97982788085938,148174600
2025-8-5,179.6199951171875,180.25999450683594,175.89999389648438,178.25999450683594,178.24002075195312,156407600
2025-8-6,176.3300018310547,179.89999389648438,176.25,179.4199981689453,179.39988708496094,137192300
2025-8-7,181.57000732421875,183.8800048828125,178.8000030517578,180.77000427246094,180.74974060058594,151878400
2025-8-8,181.5500030517578,183.3000030517578,180.39999389648438,182.6999969482422,182.6795196533203,123396700
2025-8-11,182.0500030517578,183.83999633789062,180.25,182.05999755859375,182.0395965576172,138323200
2025-8-12,182.9600067138672,184.47999572753906,179.4600067138672,183.16000366210938,183.1394805908203,145485700
2025-8-13,182.6199951171875,183.97000122070312,179.35000610351562,181.58999633789062,181.56964111328125,179871700
2025-8-14,179.75,183.02000427246094,179.4600067138672,182.02000427246094,181.99960327148438,129554000
2025-8-15,181.8800048828125,181.89999389648438,178.0399932861328,180.4499969482422,180.42977905273438,156602200
2025-8-18,180.60000610351562,182.94000244140625,180.58999633789062,182.00999450683594,181.98959350585938,132008000
2025-8-19,182.42999267578125,182.5,175.49000549316406,175.63999938964844,175.6203155517578,185229200
2025-8-20,175.1699981689453,176,168.8000030517578,175.39999389648438,175.38034057617188,215142700
2025-8-21,174.85000610351562,176.89999389648438,173.80999755859375,174.97999572753906,174.96038818359375,140040900
2025-8-22,172.61000061035156,178.58999633789062,171.1999969482422,177.99000549316406,177.97006225585938,172789400
2025-8-25,178.35000610351562,181.91000366210938,176.57000732421875,179.80999755859375,179.78985595703125,163012800
2025-8-26,180.05999755859375,182.38999938964844,178.80999755859375,181.77000427246094,181.7496337890625,168688200
2025-8-27,181.97999572753906,182.49000549316406,179.10000610351562,181.60000610351562,181.57965087890625,235518900
2025-8-28,180.82000732421875,184.47000122070312,176.41000366210938,180.1699981689453,180.14981079101562,281787800
2025-8-29,178.11000061035156,178.14999389648438,173.14999389648438,174.17999267578125,174.1604766845703,243257900
2025-9-2,170,172.3800048828125,167.22000122070312,170.77999877929688,170.7608642578125,231164900
